date,exchange,fromSymbol,toSymbol,close,high,low,open,volumefrom,volumeto
2019-07-21,ABCC,YEE,USDT,0.0024,0.0024,0.0024,0.0024,0,0
2019-07-21,ABCC,XMX,BTC,2e-7,2e-7,2e-7,2e-7,0,0
2019-07-21,ABCC,YEE,BTC,2.6e-7,2.6e-7,2.6e-7,2.6e-7,0,0
2019-07-21,ABCC,YEE,ETH,0.00001915,0.00001915,0.00001915,0.00001915,0,0
2019-07-21,ABCC,ARN,BTC,0.00003659,0.00003659,0.00003659,0.00003659,0,0
2019-07-21,ABCC,BCH,USDT,317.74,317.74,317.74,317.74,0,0
2019-07-21,ABCC,SOC,ETH,0.00007055,0.00007055,0.00007055,0.00007055,0,0
2019-07-21,ABCC,DNT,BTC,0.00000337,0.00000337,0.00000337,0.00000337,0,0
2019-07-21,ABCC,DNT,ETH,0.0000763,0.0000763,0.0000763,0.0000763,0,0
2019-07-21,ABCC,SOC,BTC,0.00000186,0.00000186,0.00000186,0.00000186,0,0
2019-07-21,ABCC,SNT,ETH,0.000152,0.000152,0.000152,0.000152,0,0
2019-07-21,ABCC,SNT,BTC,0.00000557,0.00000557,0.00000557,0.00000557,0,0
2019-07-21,ABCC,KEY,BTC,7.9e-7,7.9e-7,7.9e-7,7.9e-7,0,0
2019-07-21,ABCC,KEY,ETH,0.00002079,0.00002079,0.00002079,0.00002079,0,0
2019-07-21,ABCC,PAX,USDT,1.032,1.032,1.032,1.032,0,0
2019-07-21,ABCC,BCH,BTC,0.03553,0.03553,0.03553,0.03553,0,0
2019-07-21,ABCC,PAX,BTC,0.00008811,0.00008811,0.00008811,0.00008811,0,0
2019-07-21,ABCC,BCH,ETH,2.14,2.14,2.14,2.14,0,0
2019-07-21,ABCC,IOST,ETH,0.00008828,0.00008828,0.00008828,0.00008828,0,0
2019-07-21,ABCC,IOST,BTC,0.00000187,0.00000187,0.00000187,0.00000187,0,0
2019-07-21,ABCC,ETH,BTC,0.06469,0.06469,0.06469,0.06469,0,0
2019-07-21,ABCC,ETH,USDT,474.9,474.9,474.9,474.9,0,0
2019-07-21,ABCC,XOV,BTC,4.5e-7,4.5e-7,4.5e-7,4.5e-7,0,0
2019-07-21,ABCC,MCO,BTC,0.00068,0.00068,0.00068,0.00068,0,0
2019-07-21,ABCC,XLM,BTC,0.0000316,0.0000316,0.0000316,0.0000316,0,0
2019-07-21,ABCC,MCO,ETH,0.01926,0.01926,0.01926,0.01926,0,0
2019-07-21,ABCC,XLM,ETH,0.00076,0.00076,0.00076,0.00076,0,0
2019-07-21,ABCC,ZEC,ETH,0.3715,0.3715,0.3715,0.3715,0,0
2019-07-21,ABCC,GUSD,BTC,0.0001564,0.0001564,0.0001564,0.0001564,0,0
2019-07-21,ABCC,GUSD,USDT,1.024,1.024,1.024,1.024,0,0
2019-07-21,ABCC,HOT,ETH,0.00000435,0.00000435,0.00000435,0.00000435,0,0
2019-07-21,ABCC,HOT,BTC,1.6e-7,1.6e-7,1.6e-7,1.6e-7,0,0
2019-07-21,ABCC,GNO,ETH,0.0806,0.0806,0.0806,0.0806,0,0
2019-07-21,ABCC,LEND,ETH,0.00007555,0.00007555,0.00007555,0.00007555,0,0
2019-07-21,ABCC,IGG,BTC,3e-8,3e-8,3e-8,3e-8,0,0
